Date Time,Open,High,Low,Close,Volume
2022-07-08 00:00:00,31276,31276,31273,31276,10
2022-07-08 00:00:05,31274,31276,31274,31275,8
2022-07-08 00:00:10,31273,31274,31272,31273,10
2022-07-08 00:00:15,31271,31271,31268,31268,3
2022-07-08 00:00:20,31269,31273,31269,31273,5
2022-07-08 00:00:25,31272,31273,31272,31273,6
2022-07-08 00:00:30,31273,31274,31273,31274,4
2022-07-08 00:00:35,31273,31275,31272,31275,6
2022-07-08 00:00:40,31275,31276,31270,31271,17
2022-07-08 00:00:45,31274,31274,31274,31274,6
2022-07-08 00:00:50,31270,31274,31270,31274,7
2022-07-08 00:00:55,31274,31275,31270,31271,9
2022-07-08 00:01:00,31272,31273,31272,31273,2
2022-07-08 00:01:05,31273,31274,31273,31274,2
2022-07-08 00:01:10,31275,31275,31274,31274,6
2022-07-08 00:01:15,31276,31276,31276,31276,2
2022-07-08 00:01:20,31273,31274,31273,31274,4
2022-07-08 00:01:25,31275,31275,31275,31275,2
2022-07-08 00:01:30,31275,31276,31274,31274,15
2022-07-08 00:01:35,31274,31274,31271,31273,7
2022-07-08 00:01:40,31274,31277,31274,31277,4
2022-07-08 00:01:45,31278,31282,31276,31276,33
2022-07-08 00:01:50,31277,31280,31277,31278,13
2022-07-08 00:01:55,31279,31281,31279,31281,8
2022-07-08 00:02:00,31281,31282,31280,31280,10
2022-07-08 00:02:05,31281,31282,31279,31280,6
2022-07-08 00:02:10,31278,31278,31273,31274,19
2022-07-08 00:02:15,31271,31272,31271,31272,2
2022-07-08 00:02:20,31273,31274,31272,31273,7
2022-07-08 00:02:25,31274,31274,31273,31274,9
2022-07-08 00:02:30,31275,31278,31275,31278,8
2022-07-08 00:02:35,31277,31279,31276,31279,8
2022-07-08 00:02:40,31280,31281,31278,31280,7
2022-07-08 00:02:45,31281,31281,31280,31280,4
2022-07-08 00:02:50,31280,31280,31280,31280,1
2022-07-08 00:02:55,31277,31277,31275,31275,5
2022-07-08 00:03:00,31276,31279,31276,31278,8
2022-07-08 00:03:05,31279,31280,31274,31274,8
2022-07-08 00:03:10,31272,31273,31271,31273,5
2022-07-08 00:03:15,31272,31274,31272,31272,4
2022-07-08 00:03:20,31273,31273,31273,31273,1
2022-07-08 00:03:25,31273,31274,31272,31274,13
2022-07-08 00:03:30,31276,31277,31276,31277,7
2022-07-08 00:03:35,31279,31279,31279,31279,1
2022-07-08 00:03:40,31279,31280,31279,31280,7
2022-07-08 00:03:45,31278,31279,31275,31275,7
2022-07-08 00:03:50,31276,31277,31273,31277,5
2022-07-08 00:04:00,31278,31278,31276,31276,7
2022-07-08 00:04:05,31273,31273,31270,31270,4
2022-07-08 00:04:10,31271,31275,31271,31275,3
2022-07-08 00:04:15,31276,31276,31276,31276,8
2022-07-08 00:04:20,31277,31277,31275,31275,3
